rollout/episode_reward_sum,time/fps,time/rollout,rollout/episode_reward_short_path,rollout/episode_length,time/iterations,time/total_timesteps,time/time_elapsed,rollout/episode_reward_height_coverage,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/clip_range_vf,train/loss,train/entropy_loss,train/clip_fraction,train/n_updates,time/training
2.0192,491,16.656025409698486,-26.9017,20.5043,1,8192,17,0.2355,,,,,,,,,,,,
3.2413,478,17.12434697151184,-118.0096,85.6049,2,16384,37,0.7521,-0.06707063452340663,0.010215818881988525,0.05092,0.2,0.0001,11.010945190489291,0.2,7.5151824951171875,-19.382232797145843,0.3453369140625,5,3.458808660507202
3.3781,485,16.883845806121826,-136.8476,98.9238,3,24576,57,0.8531,-0.04865600606996794,0.16732805967330933,0.0556799,0.2,0.0001,218.48166186274315,0.2,135.4893035888672,-19.32838480423908,0.4522002551020408,10,2.4934961795806885
3.4737,479,17.08856701850891,-136.4704,98.7352,4,32768,76,0.856,-0.03656995316135285,0.283872127532959,0.05268425,0.2,0.0001,568.7263556933793,0.2,639.2920532226562,-19.286035889484843,0.3804751536885246,15,2.500149965286255
3.6004,485,16.873202800750732,-135.537,98.2685,5,40960,96,0.8577,-0.02797124434982834,0.16892731189727783,0.048464134,0.2,0.0001,4261.28966999054,0.2,4374.806640625,-19.24460295587778,0.399505615234375,20,2.6178200244903564
3.3969,485,16.863274097442627,-137.0952,99.0476,6,49152,114,0.8553,-0.01147840175544843,0.1916906237602234,0.042473316,0.2,0.0001,3847.951145935059,0.2,1531.4268798828125,-19.20840710401535,0.327392578125,25,1.6296284198760986
3.6333,473,17.31095600128174,-135.7532,98.3766,7,57344,133,0.8604,-0.004645368959530291,0.13731157779693604,0.047041036,0.2,0.0001,7349.578513271837,0.2,4048.866943359375,-19.166814895997565,0.35852786144578314,30,1.768847942352295
3.9333,478,17.11152219772339,-134.0446,97.5223,8,65536,151,0.8669,0.009064321537785556,0.12418007850646973,0.04804082,0.2,0.0001,10225.747547315515,0.2,4238.357421875,-19.138470919235893,0.34018342391304346,35,0.9529345035552979
3.9434,479,17.08757734298706,-133.9562,97.4781,9,73728,169,0.867,0.011812820328750473,0.16207581758499146,0.059681483,0.2,0.0001,3626.7865432518115,0.2,2076.6689453125,-19.11694366344507,0.3032155797101449,40,0.7060091495513916
