rollout/episode_reward_height_coverage,time/total_timesteps,time/fps,time/time_elapsed,rollout/episode_reward_short_path,rollout/episode_length,time/rollout,rollout/episode_reward_sum,time/iterations,train/n_updates,train/clip_range,train/explained_variance,time/training,train/approx_kl,train/clip_range_vf,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss
0.454,4096,461,9,-20.155,15.355,8.86650276184082,7.065,1,,,,,,,,,,,,
0.6988,8192,462,19,-82.705,59.905,8.86390209197998,5.7046,2,5,0.2,0.00733339786529541,1.727123498916626,0.05195339,0.2,0.385498046875,8.786054611206055,0.0001,13.019687083363532,-0.07996527055511252,-19.3821932554245
0.8755,12288,460,30,-127.0199,91.5826,8.886451721191406,4.8086,3,10,0.2,0.14923584461212158,1.6406164169311523,0.06782617,0.2,0.477906050955414,764.7434692382812,0.0001,1009.7839849192626,-0.07921313534188233,-19.335972281777934
0.9206,16384,459,40,-138.46,99.73,8.920096158981323,4.5653,4,15,0.2,-0.03322577476501465,1.2914824485778809,0.055919535,0.2,0.4710875984251969,7832.869140625,0.0001,9225.414308562993,-0.07611816962374242,-19.285431193554494
0.9213,20480,454,50,-138.6814,99.8407,9.01095199584961,4.5576,5,20,0.2,0.00047773122787475586,1.2526042461395264,0.060050916,0.2,0.4871061991869919,10063.501953125,0.0001,12860.41103753811,-0.07446858646514697,-19.249440433533213
0.9221,24576,458,60,-139.0,100.0,8.9316725730896,4.5428,6,25,0.2,-0.0003268718719482422,1.077974796295166,0.06179036,0.2,0.46156881313131315,29881.4453125,0.0001,41698.924360795456,-0.04995833190553116,-19.16794476364598
0.9218,28672,466,70,-139.0,100.0,8.789108753204346,4.536,7,30,0.2,0.015716969966888428,1.0056366920471191,0.06376656,0.2,0.4803503787878788,59545.1875,0.0001,79162.90822285354,-0.04743825743972051,-19.11134245901397
0.9222,32768,447,80,-139.0,100.0,9.161422967910767,4.5448,8,35,0.2,0.01946204900741577,1.0031421184539795,0.06884167,0.2,0.4919483418367347,64189.08984375,0.0001,79229.60754145408,-0.05358519739642435,-19.072059670273138
0.9227,36864,448,90,-138.2542,99.6271,9.137678623199463,4.6277,9,40,0.2,0.02460169792175293,1.0068750381469727,0.0679408,0.2,0.49281881313131315,97315.484375,0.0001,106968.19547032828,-0.051776615253677875,-19.05900248132571
