time/time_elapsed,rollout/episode_length,rollout/episode_reward_sum,time/iterations,rollout/episode_reward_short_path,rollout/episode_reward_height_coverage,time/fps,time/total_timesteps,time/rollout,train/entropy_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,time/training,train/clip_fraction,train/clip_range_vf,train/learning_rate
317,95.2089,4.5325,16,-129.4178,0.8737,476,131072,17.18860411643982,-18.036458289623262,-0.016911962776794097,30.862211227416992,75,0.07206223,0.23626112937927246,0.2,271.05587396621706,3.39749813079834,0.4322509765625,0.2,0.0001
338,94.2121,4.8092,17,-127.4242,0.8776,479,139264,17.074747323989868,-18.317854750156403,-0.041429482933017424,17.50461769104004,80,0.09751443,0.17529559135437012,0.2,34.27868100106716,3.2941808700561523,0.495654296875,0.2,0.0001
359,89.5033,5.9504,18,-118.0066,0.8876,470,147456,17.40701460838318,-18.22652815580368,-0.052877903854823674,5.618728160858154,85,0.09926895,0.2201823592185974,0.2,12.961365932226181,3.4655234813690186,0.529296875,0.2,0.0001
379,85.3954,6.9415,19,-109.7908,0.896,480,155648,17.031994342803955,-17.988899880647658,-0.06456022825732362,4.515754222869873,90,0.113351144,0.4448227286338806,0.2,8.585432603955269,3.2755746841430664,0.56279296875,0.2,0.0001
399,80.9514,7.8664,20,-100.9028,0.8978,478,163840,17.133089780807495,-17.96340330839157,-0.07156030257465318,4.592981338500977,95,0.13985603,0.534017026424408,0.2,6.731931784003973,3.2667858600616455,0.5853759765625,0.2,0.0001
420,81.5302,7.7532,21,-102.0604,0.898,468,172032,17.476677894592285,-17.9931181371212,-0.06436385694541968,0.7038751840591431,100,0.12557808,0.5746544301509857,0.2,5.636708465963602,3.2826733589172363,0.5787353515625,0.2,0.0001
441,74.7048,9.1869,22,-88.4096,0.9014,470,180224,17.40427255630493,-17.762515890598298,-0.0691976462781895,2.2833456993103027,105,0.13860072,0.6842383444309235,0.2,4.1978398185223345,3.3500142097473145,0.58388671875,0.2,0.0001
462,68.4142,10.4755,23,-75.8284,0.9029,463,188416,17.675007343292236,-17.660044687986375,-0.07103051413432696,2.11336350440979,110,0.15914798,0.738754391670227,0.2,3.8255467638373375,3.2997286319732666,0.60595703125,0.2,0.0001
483,63.3917,11.5139,24,-65.8637,0.905,467,196608,17.511164665222168,-17.676392656564712,-0.07233951100497507,2.597543716430664,115,0.16780838,0.7386795878410339,0.2,3.8746360942721365,3.4230003356933594,0.6104248046875,0.2,0.0001
504,61.501,11.917,25,-62.047,0.9061,470,204800,17.423248052597046,-17.540358477830885,-0.07179169764276594,0.467983603477478,120,0.17309943,0.7619514465332031,0.2,3.67163036968559,3.256899118423462,0.605859375,0.2,0.0001
524,61.6104,11.8868,26,-62.2926,0.9058,467,212992,17.508093118667603,-17.470004534721376,-0.0704665180266602,4.05490779876709,125,0.16353664,0.7488093972206116,0.2,3.6960990730673076,3.259615421295166,0.595166015625,0.2,0.0001
545,57.0391,12.7845,27,-53.1543,0.905,465,221184,17.610593557357788,-17.411815329686107,-0.06599424349694144,1.473629355430603,130,0.16185506,0.7646123617887497,0.2,3.68198838069935,3.026418924331665,0.582005033557047,0.2,0.0001
566,51.5126,13.9106,28,-42.2395,0.9067,462,229376,17.714588403701782,-17.144146752357482,-0.06472213487431873,4.345480442047119,135,0.17249385,0.757503017783165,0.2,4.292149848677218,3.274229049682617,0.598095703125,0.2,0.0001
587,50.6041,14.0743,29,-40.5383,0.9064,463,237568,17.66472816467285,-16.831936663389207,-0.06668482056702488,-0.4742697477340698,140,0.1819035,0.7103278934955597,0.2,4.8411561451852325,3.2639620304107666,0.599658203125,0.2,0.0001
608,45.7992,14.986,30,-31.4771,0.9067,460,245760,17.784493446350098,-16.630139207839967,-0.05943133264663629,3.644763469696045,145,0.17207888,0.735743522644043,0.2,5.659287819638848,3.2537620067596436,0.60224609375,0.2,0.0001
629,43.3786,15.4817,31,-26.6254,0.9072,457,253952,17.894086599349976,-16.47601411342621,-0.06197356223419774,1.2125823497772217,150,0.1814793,0.7000085115432739,0.2,5.681336174532771,3.2709591388702393,0.6025390625,0.2,0.0001
650,41.9309,15.7232,32,-24.2364,0.9073,457,262144,17.925331830978394,-16.175145066158283,-0.06302062158540982,1.0036345720291138,155,0.18126647,0.6779052913188934,0.2,5.812943894688676,2.9225051403045654,0.5893945993031359,0.2,0.0001
670,41.187,15.8615,33,-22.8634,0.9074,452,270336,18.088072299957275,-16.27326656847584,-0.03998025629802474,4.135427474975586,160,0.19207194,0.7040749788284302,0.2,6.472475127298004,1.994267463684082,0.5280213647959183,0.2,0.0001
691,39.6803,16.1092,34,-20.4591,0.9078,442,278528,18.504218101501465,-16.13167863501642,-0.0537772121965269,-0.06923162937164307,165,0.2245951,0.7090834081172943,0.2,6.7061425425056225,2.7850329875946045,0.5824718045112782,0.2,0.0001
713,38.0211,16.3919,35,-17.4601,0.9069,444,286720,18.41637921333313,-16.14166823029518,-0.05432503579941113,3.6895694732666016,170,0.1948959,0.6903927326202393,0.2,6.961897291615605,3.406881809234619,0.611669921875,0.2,0.0001
734,37.86,16.3427,36,-18.1327,0.9078,448,294912,18.276162147521973,-16.207676392613035,-0.06035603208213367,2.173954486846924,175,0.19889338,0.659072756767273,0.2,6.477289673956958,2.7533557415008545,0.5737748579545454,0.2,0.0001
756,36.5792,16.5968,37,-15.636,0.908,441,303104,18.537151336669922,-16.080258402228356,-0.05526130471553188,6.048787593841553,180,0.18941997,0.6915298700332642,0.2,7.379937800765037,3.2508370876312256,0.603173828125,0.2,0.0001
778,36.9574,16.5118,38,-16.6203,0.9087,444,311296,18.435741186141968,-16.20671723484993,-0.059749181690858674,3.0320353507995605,185,0.18820226,0.6573777794837952,0.2,7.992148042470217,3.422868251800537,0.6064453125,0.2,0.0001
800,36.0972,16.5995,39,-15.5418,0.9077,441,319488,18.546241521835327,-16.226413941383363,-0.05782155287161004,2.9137842655181885,190,0.17805755,0.6705022156238556,0.2,7.260244585573673,3.379983425140381,0.5977783203125,0.2,0.0001
822,35.9239,16.6397,40,-15.1775,0.9079,441,327680,18.56912398338318,-16.254001516103745,-0.061658390986849554,6.648444652557373,195,0.1783747,0.6617343127727509,0.2,7.634704350680113,3.4158389568328857,0.5947509765625,0.2,0.0001
843,35.5774,16.6829,41,-14.6561,0.9074,447,335872,18.3032865524292,-16.28971047224822,-0.05195809558930772,3.3156774044036865,200,0.20723537,0.6720419228076935,0.2,7.893650570622197,2.8637635707855225,0.5734085648148148,0.2,0.0001
865,33.6919,17.0144,42,-11.5167,0.9083,444,344064,18.425493955612183,-16.181490060687064,-0.05736345452896785,7.507303714752197,205,0.18369018,0.6360267400741577,0.2,7.824420139193535,3.332329034805298,0.593603515625,0.2,0.0001
884,33.4576,16.9641,43,-11.849,0.9075,446,352256,18.349053144454956,-16.04350116479136,-0.023826109619308127,2.825847864151001,210,0.13832617,0.63739874958992,0.2,7.892956568376861,1.449993371963501,0.4377851277372263,0.2,0.0001
906,33.7042,16.9668,44,-11.8471,0.9076,441,360448,18.55872392654419,-15.996627661460204,-0.047609844844488575,3.0306615829467773,215,0.24631083,0.6322768330574036,0.2,8.223786817656624,2.7055983543395996,0.5637272509578544,0.2,0.0001
927,30.7878,17.3836,45,-7.5527,0.9069,439,368640,18.625752449035645,-15.915098223192938,-0.057650208317449894,3.7918450832366943,220,0.18262129,0.6209963262081146,0.2,8.109889658566178,3.110126495361328,0.5802801724137931,0.2,0.0001
950,33.1432,17.0509,46,-11.1348,0.9082,435,376832,18.801857948303223,-15.599041584134103,-0.047540141621720974,9.763457298278809,225,0.20235558,0.6107202172279358,0.2,9.746476702019573,3.46895170211792,0.6117431640625,0.2,0.0001
971,33.3133,17.0013,47,-11.5849,0.908,450,385024,18.177376747131348,-15.870496022701264,-0.0646679906087229,1.7096847295761108,230,0.18145885,0.5937809944152832,0.2,8.01808167695999,3.348132848739624,0.604345703125,0.2,0.0001
993,31.8361,17.1966,48,-9.5528,0.9076,442,393216,18.502323865890503,-15.83878381550312,-0.06244122520147357,5.594295978546143,235,0.19039801,0.6203987896442413,0.2,7.9509209275245665,3.364490270614624,0.5968505859375,0.2,0.0001
1015,31.9571,17.1665,49,-9.8866,0.9078,446,401408,18.347206830978394,-15.776076531410217,-0.05722653435368556,5.521963119506836,240,0.18760288,0.6295431852340698,0.2,8.362797246873379,3.2722275257110596,0.5943603515625,0.2,0.0001
1037,30.3612,17.3627,50,-7.9854,0.9081,443,409600,18.455378532409668,-15.896359124779702,-0.05519753810367547,9.203622817993164,245,0.19204946,0.6289722621440887,0.2,8.694663167744874,3.2796854972839355,0.60400390625,0.2,0.0001
1058,33.5556,16.788,51,-13.3941,0.9064,447,417792,18.312191247940063,-15.554148601449054,-0.056308371990082276,4.324009895324707,250,0.20772938,0.6207493245601654,0.2,8.411745745634686,2.8165104389190674,0.5725769927536232,0.2,0.0001
1079,33.0239,17.0372,52,-11.0915,0.9073,446,425984,18.354151248931885,-15.75336474292683,-0.0552965595053052,2.705563545227051,255,0.22054583,0.6402358412742615,0.2,8.365894470574721,2.6924896240234375,0.5607016509433962,0.2,0.0001
1100,33.0692,17.0087,53,-11.3764,0.9073,450,434176,18.19700860977173,-15.798586511611939,-0.056182259792694825,7.396768569946289,260,0.20568103,0.6366225481033325,0.2,8.102283141762019,3.2659881114959717,0.602392578125,0.2,0.0001
1121,31.6595,17.2449,54,-9.0512,0.9075,448,442368,18.26131010055542,-15.601116278146264,-0.05492446653531739,5.413776397705078,265,0.19866446,0.6320486068725586,0.2,8.30058052177564,2.888491630554199,0.5724381625441696,0.2,0.0001
1142,32.6394,17.0472,55,-10.9297,0.907,449,450560,18.208919048309326,-15.451705830938677,-0.05187424674616469,4.505820274353027,270,0.21696052,0.623619943857193,0.2,8.448848904055708,2.767488956451416,0.5714901194852942,0.2,0.0001
1164,32.5581,17.1278,56,-10.1615,0.9072,447,458752,18.325181484222412,-15.391526066111501,-0.04914247493832985,2.106362819671631,275,0.20522174,0.6246162354946136,0.2,9.228051580143992,2.86313533782959,0.5804604092526691,0.2,0.0001
1185,34.2793,16.8144,57,-13.3847,0.9076,440,466944,18.58737015724182,-15.386176475106854,-0.060075616656981204,4.41639518737793,280,0.20610611,0.6153635382652283,0.2,7.9601029337268985,3.0353503227233887,0.5795162671232876,0.2,0.0001
1207,32.8698,16.9866,58,-11.576,0.9072,437,475136,18.72030997276306,-15.452424538135528,-0.05646360341925174,2.464261531829834,285,0.19693322,0.6199431121349335,0.2,8.774742160737514,3.3463289737701416,0.5983642578125,0.2,0.0001
1229,31.7863,17.0754,59,-10.7117,0.9073,440,483328,18.5890953540802,-15.322003483348045,-0.051547024561443576,1.1906708478927612,290,0.21342057,0.6475937962532043,0.2,8.143502361833837,3.0137405395507812,0.5781528024911032,0.2,0.0001
1250,31.9824,17.0802,60,-10.7484,0.9078,437,491520,18.71053695678711,-15.206125487929665,-0.040507286812783934,3.150634288787842,295,0.19402258,0.6150596439838409,0.2,9.101536647515363,2.26267671585083,0.5292338709677419,0.2,0.0001
1271,31.5122,17.2323,61,-9.165,0.9074,437,499712,18.718135595321655,-15.26436636883925,-0.052103550974207165,4.293359756469727,300,0.3098877,0.6243646740913391,0.2,8.470098623505827,2.7851696014404297,0.556085846303502,0.2,0.0001
1293,35.3143,16.6093,62,-15.4699,0.9078,443,507904,18.46934747695923,-15.53995305941655,-0.04725129476461846,-0.5734961628913879,305,0.24690704,0.6359648704528809,0.2,8.541182239239033,2.9108874797821045,0.5667367788461538,0.2,0.0001
1314,36.0847,16.4555,63,-16.8679,0.9071,447,516096,18.314180612564087,-15.642631554267776,-0.06144095215992346,5.657262325286865,310,0.20078024,0.6068176031112671,0.2,7.707055316004954,3.1105175018310547,0.5837643045774648,0.2,0.0001
1336,35.5991,16.5535,64,-15.7874,0.9066,449,524288,18.23258399963379,-15.658458423614501,-0.062008778605377304,5.638404846191406,315,0.20152925,0.6414274871349335,0.2,7.816738956421614,3.499086380004883,0.608203125,0.2,0.0001
1357,35.525,16.4794,65,-16.6014,0.907,444,532480,18.409135103225708,-15.600074368463435,-0.05519837267782119,1.566937804222107,320,0.21150579,0.6456311643123627,0.2,7.8449637046162515,3.0874509811401367,0.5902563820422535,0.2,0.0001
1379,33.6051,16.8139,66,-13.3557,0.9075,445,540672,18.403254985809326,-15.409396356465866,-0.053085061601128705,2.9541120529174805,325,0.2150437,0.6516372859477997,0.2,8.367961860027442,3.103050470352173,0.5941485969387755,0.2,0.0001
1400,32.5408,17.0759,67,-10.6616,0.9071,448,548864,18.245593309402466,-15.24948928654194,-0.05684150464949198,6.013968467712402,330,0.21399334,0.6410053968429565,0.2,8.36029121093452,3.2851836681365967,0.6029052734375,0.2,0.0001
1421,32.163,17.055,68,-10.8057,0.9068,445,557056,18.36898398399353,-15.062343235199268,-0.0398738260130183,2.9822070598602295,335,0.18803257,0.642345517873764,0.2,8.464243030891968,2.1220614910125732,0.5261042668269231,0.2,0.0001
1443,31.0001,17.2515,69,-9.189,0.9085,447,565248,18.31027579307556,-15.121919482946396,-0.056818289816146714,6.022116184234619,340,0.2097794,0.6429985761642456,0.2,8.755136366933584,3.2763824462890625,0.6099365234375,0.2,0.0001
1463,32.6765,16.9871,70,-11.634,0.9075,440,573440,18.60410714149475,-14.941519254104682,-0.041717573251608055,5.838411808013916,345,0.1972442,0.6457014083862305,0.2,8.765434980392456,2.3396785259246826,0.5435710352422908,0.2,0.0001
1484,31.7954,17.1691,71,-9.9933,0.9084,439,581632,18.650264263153076,-15.018221731899548,-0.029551874041607997,3.2571921348571777,350,0.14173074,0.6513895392417908,0.2,8.189441373559083,1.6177854537963867,0.46710246598639454,0.2,0.0001
1505,29.9532,17.4132,72,-7.4911,0.9081,434,589824,18.834655046463013,-14.969515281148476,-0.0379751064413513,2.994098424911499,355,0.1874291,0.6423556804656982,0.2,8.853412367329739,2.0637238025665283,0.5190671410891089,0.2,0.0001
1525,31.7002,17.1042,73,-10.4839,0.9076,442,598016,18.527425527572632,-14.896425587391994,-0.03626872456703357,4.89339542388916,360,0.13203494,0.6271792650222778,0.2,8.902629786764669,1.8011078834533691,0.48145102339181284,0.2,0.0001
1546,32.2931,16.9762,74,-11.6485,0.9071,447,606208,18.32446002960205,-15.116377418381827,-0.0516373015341482,7.930626392364502,365,0.21783693,0.635527491569519,0.2,9.104602791581835,2.9586141109466553,0.5771484375,0.2,0.0001
1567,31.662,17.0953,75,-10.402,0.9068,447,614400,18.312713861465454,-15.052086265923466,-0.037453075763598784,8.350765228271484,370,0.13098274,0.6539543569087982,0.2,8.875301464065831,1.9528987407684326,0.495050719895288,0.2,0.0001
1588,32.3103,16.9991,76,-11.455,0.9072,445,622592,18.382731199264526,-14.90473881889792,-0.05561327064269849,11.547503471374512,375,0.20329519,0.6542423069477081,0.2,8.424676097296421,3.116083860397339,0.5970945669934641,0.2,0.0001
1610,30.2585,17.2853,77,-8.6526,0.9075,435,630784,18.825564861297607,-14.940978399694782,-0.05090540186948564,8.68468189239502,380,0.21424939,0.6504456996917725,0.2,8.534175822996113,3.0099079608917236,0.5902985873287672,0.2,0.0001
1631,30.1156,17.4228,78,-7.3113,0.9077,438,638976,18.698490858078003,-14.775736224013592,-0.04364487462688559,4.639280319213867,385,0.17878914,0.6351716220378876,0.2,9.223350860454419,2.590745449066162,0.5517939814814815,0.2,0.0001
1653,30.9107,17.3022,79,-8.566,0.9079,438,647168,18.66215682029724,-14.7707815602266,-0.049251294149676474,2.2959280014038086,390,0.22247249,0.6463969647884369,0.2,8.609342999159251,3.071220636367798,0.5958460365853658,0.2,0.0001
1675,29.0126,17.4782,80,-6.8433,0.9081,438,655360,18.67931032180786,-14.59324597525518,-0.05422571167140806,2.7078065872192383,395,0.22069848,0.6283092796802521,0.2,8.786436428724736,3.0952420234680176,0.6024133663366337,0.2,0.0001
1696,30.0387,17.322,81,-8.1493,0.9068,443,663552,18.48304319381714,-14.390880371974065,-0.05008292466473694,3.5710835456848145,400,0.25164855,0.6213675439357758,0.2,9.031911059526296,2.695460319519043,0.5630408653846154,0.2,0.0001
1718,29.5939,17.4092,82,-7.3986,0.9075,434,671744,18.866480827331543,-14.375542602916756,-0.052510242881529993,1.9422202110290527,405,0.21989408,0.6427544951438904,0.2,9.167649254153664,3.157426118850708,0.6039346122112211,0.2,0.0001
1739,28.8043,17.5903,83,-5.8243,0.9086,439,679936,18.64401626586914,-14.232227743779859,-0.048400443985531984,10.061517715454102,410,0.22237326,0.6397574543952942,0.2,8.943872130050092,2.881164073944092,0.5729553903345725,0.2,0.0001
1759,30.2276,17.2803,84,-8.7919,0.908,443,688128,18.49161982536316,-14.305154093268778,-0.02319606597579661,7.200891971588135,415,0.14947304,0.6251341998577118,0.2,9.20755148907097,1.4969489574432373,0.46678358843537415,0.2,0.0001
1780,29.0855,17.4897,85,-6.5593,0.9073,436,696320,18.783981800079346,-14.17741430974474,-0.040204281758918776,8.131293296813965,420,0.17026313,0.6267646849155426,0.2,9.047961965495466,2.131110906600952,0.5287607230392157,0.2,0.0001
1802,29.3024,17.4353,86,-7.2536,0.908,436,704512,18.7842800617218,-14.19067226515876,-0.04029462217456765,7.906006813049316,425,0.1912517,0.6454422771930695,0.2,9.151294532749388,2.350365400314331,0.5429325810185185,0.2,0.0001
