time/rollout,time/total_timesteps,time/time_elapsed,rollout/episode_length,time/iterations,rollout/episode_reward_sum,rollout/episode_reward_height_coverage,rollout/episode_reward_short_path,time/fps,train/entropy_loss,train/value_loss,train/clip_range_vf,time/training,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl,train/loss
16.881848335266113,8192,17,20.5043,1,2.84,0.2355,-18.6937,485,,,,,,,,,,,,
16.995729446411133,16384,37,85.6881,2,6.8031,0.7562,-83.2066,482,-19.38213268518448,11.842354530096054,0.2,3.3996529579162598,0.013569056987762451,-0.06466122468118556,0.0001,0.3333984375,5,0.2,0.04856071,8.367365837097168
16.918769121170044,24576,57,98.9231,3,7.5009,0.8593,-96.8462,484,-19.33039798140526,520.3841533660889,0.2,3.2994885444641113,0.1614290475845337,-0.07188399105798453,0.0001,0.455322265625,10,0.2,0.06654973,338.00299072265625
17.26894783973694,32768,78,98.8502,4,7.5124,0.8591,-96.7004,474,-19.272943359613418,1422.4974557876587,0.2,3.354132890701294,0.20115697383880615,-0.0749760793929454,0.0001,0.4982177734375,15,0.2,0.09354472,1168.7294921875
17.043442010879517,40960,98,98.1457,5,7.6206,0.8575,-95.2914,480,-19.227388697862626,4520.528762817383,0.2,3.2926361560821533,0.11779516935348511,-0.07309141348523554,0.0001,0.53828125,20,0.2,0.103815265,4017.10986328125
16.936742544174194,49152,118,99.0055,6,7.3281,0.8515,-97.011,483,-19.15887502678336,3748.1439832212554,0.2,2.406759262084961,0.09078425168991089,-0.035236583197418646,0.0001,0.5141745780590717,25,0.2,0.0991217,2751.248779296875
16.897291898727417,57344,137,98.6978,7,7.4187,0.8529,-96.3956,484,-19.089436945707902,1728.5878577854323,0.2,1.8722009658813477,0.2126564383506775,-0.00898844775814644,0.0001,0.49337635869565216,30,0.2,0.09344811,2173.979736328125
16.906649351119995,65536,154,99.4214,8,7.2355,0.851,-97.8428,484,-18.944088459014893,1829.8485573662651,0.2,0.7303240299224854,0.27202457189559937,0.031070065956252318,0.0001,0.4379340277777778,35,0.2,0.09467319,2379.5205078125
17.071096897125244,73728,173,98.5676,9,7.4989,0.8556,-96.1352,479,-18.704376164604636,6972.4477000517,0.2,2.1048431396484375,0.22746574878692627,0.013163093306288561,0.0001,0.5522748161764706,40,0.2,0.12485939,6506.49169921875
16.955899953842163,81920,193,98.0713,10,7.7027,0.8608,-95.1426,483,-18.8314778109837,212.88770229185644,0.2,2.350092887878418,0.6630164980888367,-0.02482081565905713,0.0001,0.5566493834080718,45,0.2,0.112957194,163.93630981445312
17.132168531417847,90112,212,98.9405,11,7.5232,0.8606,-96.881,478,-18.811198116577778,119.74709282707923,0.2,1.9906418323516846,-0.05487322807312012,-0.036524255260748345,0.0001,0.5134101159793815,50,0.2,0.13822503,130.80593872070312
17.09642457962036,98304,231,99.1646,12,7.3398,0.8536,-97.3292,479,-18.750273382508908,86.6646716873367,0.2,1.5830211639404297,0.35460376739501953,-0.02672465353018858,0.0001,0.46382913961038963,55,0.2,0.09587611,73.09508514404297
17.172372102737427,106496,249,97.9937,13,7.5324,0.8516,-94.9874,477,-18.788043072349147,34.0677377675709,0.2,1.6225414276123047,0.606649786233902,-0.02878647937292331,0.0001,0.47687088815789475,60,0.2,0.1058717,36.6518669128418
17.116510152816772,114688,269,98.1279,14,7.6426,0.8584,-95.2558,478,-18.814490691054292,17.48159444392635,0.2,2.0587620735168457,0.4628700613975525,-0.044605514847763296,0.0001,0.4973032994923858,65,0.2,0.12642995,11.803834915161133
17.21556067466736,122880,288,96.791,15,8.1322,0.8695,-92.582,475,-18.819101450993465,10.660578370705629,0.2,2.0665829181671143,0.6175818145275116,-0.0433138261620815,0.0001,0.48465544871794874,70,0.2,0.13613205,11.397541046142578
17.602471351623535,131072,307,95.9415,16,8.352,0.872,-90.883,465,-18.78557241984776,56.9018595457077,0.2,1.5009019374847412,0.4481493830680847,-0.013562515484435218,0.0001,0.4109375,75,0.2,0.11138886,102.73384094238281
17.54165744781494,139264,326,95.7327,17,8.5293,0.8788,-90.4654,467,-18.79271785759487,7.797472541317618,0.2,1.7484102249145508,0.7015893459320068,-0.03162336239214141,0.0001,0.4270034509202454,80,0.2,0.1017946,4.443976879119873
17.44781184196472,147456,345,92.4429,18,9.3733,0.8881,-83.8858,469,-18.719498223524827,6.865028731639569,0.2,1.376049518585205,0.6711204349994659,-0.018916499256514587,0.0001,0.40078125,85,0.2,0.12311442,5.69974422454834
17.495838165283203,155648,365,90.8479,19,9.7518,0.8911,-80.6958,468,-18.72660625094459,5.1382715145746864,0.2,2.2485108375549316,0.6581172943115234,-0.04921995194274045,0.0001,0.46179315476190474,90,0.2,0.1163373,2.65716552734375
17.251920223236084,163840,385,86.9392,20,10.6668,0.8978,-72.8884,474,-18.701878651167995,3.182533030824144,0.2,2.6360416412353516,0.7427081763744354,-0.06275799154672165,0.0001,0.5176841085271318,95,0.2,0.1437656,1.3793028593063354
17.51070547103882,172032,404,84.7114,21,11.0983,0.8976,-68.5413,467,-18.683789928004426,3.5249335912038697,0.2,2.1526293754577637,0.784454345703125,-0.04947499846732068,0.0001,0.47877358490566035,100,0.2,0.11918296,5.176529884338379
17.655463457107544,180224,423,78.5081,22,12.4257,0.9022,-56.1762,463,-18.61660162607829,4.195766816085035,0.2,1.33945631980896,0.7603982985019684,-0.027467364847490735,0.0001,0.390625,105,0.2,0.11773834,4.388403415679932
