rollout/episode_reward_height_coverage,rollout/episode_length,time/time_elapsed,rollout/episode_reward_sum,time/fps,time/iterations,time/rollout,rollout/episode_reward_short_path,time/total_timesteps,train/clip_range_vf,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/approx_kl,time/training,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss
0.553,21.8601,9,8.8712,461,1,8.868460893630981,-21.8857,4096,,,,,,,,,,,,
0.7899,56.0241,19,9.4388,459,2,8.92203974723816,-63.5926,8192,0.2,0.0001,0.37587890625,0.2,5,0.052811645,1.7520225048065186,4.2390947341918945,-19.384726750850678,-0.07649445687711705,0.006733953952789307,5.801514899730682
0.9027,70.5169,30,10.0508,452,3,9.043623924255371,-80.0353,12288,0.2,0.0001,0.3767361111111111,0.2,10,0.06431623,1.4148693084716797,4.725670337677002,-19.35342244748716,-0.052449782723905866,0.47455161809921265,7.161876964569092
0.9043,67.5018,40,10.6859,452,4,9.060390710830688,-74.0105,16384,0.2,0.0001,0.41838942307692306,0.2,15,0.0681962,1.3854973316192627,6.866149425506592,-19.318225889939526,-0.07076632522333126,0.29745882749557495,5.092159317089961
0.9048,64.3917,51,11.3107,446,5,9.177913188934326,-67.8449,20480,0.2,0.0001,0.3705575980392157,0.2,20,0.071008064,1.0413117408752441,0.41727614402770996,-19.289379007676068,-0.059034936540924454,0.4429718255996704,3.6674205882876527
0.9051,59.8228,61,12.2014,445,6,9.19927716255188,-59.0056,24576,0.2,0.0001,0.3631218112244898,0.2,25,0.078826874,1.0184681415557861,2.4215104579925537,-19.246958362812897,-0.049361211057676345,0.5019978582859039,4.271783066039183
0.9055,55.4381,71,13.0936,447,7,9.151285648345947,-50.1648,28672,0.2,0.0001,0.34669237012987014,0.2,30,0.061041772,0.7895975112915039,2.285306930541992,-19.19438121845196,-0.03903141115828381,0.5335849225521088,5.026835833277021
0.9058,51.9517,81,13.7856,443,8,9.226261377334595,-43.3077,32768,0.2,0.0001,0.32971014492753625,0.2,35,0.0685076,0.7096760272979736,3.2961959838867188,-19.13582224085711,-0.035187927952063255,0.45376908779144287,5.588030583616616
0.9064,46.3312,91,14.8808,440,9,9.294475793838501,-32.4644,36864,0.2,0.0001,0.36323529411764705,0.2,40,0.058741864,0.865778923034668,5.053030967712402,-19.080713586246265,-0.03902811707161805,0.49270546436309814,5.848716013571796
0.9068,45.0132,101,15.1733,444,10,9.22495174407959,-29.6351,40960,0.2,0.0001,0.3860677083333333,0.2,45,0.059922047,0.8907947540283203,6.282470703125,-19.012378510974703,-0.04260765913031286,0.4727995991706848,7.4619295199712115
0.9063,42.1829,111,15.6708,448,11,9.132776498794556,-24.5483,45056,0.2,0.0001,0.3201941287878788,0.2,50,0.071603775,0.6672124862670898,4.445842742919922,-18.965942556207832,-0.024909130791484407,0.466386616230011,7.952357483632637
0.9061,40.633,121,15.8737,446,12,9.164216041564941,-22.4777,49152,0.2,0.0001,0.33122702205882354,0.2,55,0.072933264,0.688030481338501,6.344709396362305,-18.87734087775735,-0.03299835535204586,0.4319325089454651,7.622281880939708
0.9067,37.2298,130,16.4508,444,13,9.222330331802368,-16.8395,53248,0.2,0.0001,0.35392992424242425,0.2,60,0.06977249,0.6656439304351807,4.008063793182373,-18.779265143654563,-0.023197998193967524,0.48233455419540405,8.122640349648215
0.9061,35.8088,140,16.7048,445,14,9.194391012191772,-14.1696,57344,0.2,0.0001,0.36752717391304346,0.2,65,0.07150424,0.6980698108673096,1.566013216972351,-18.71927623472352,-0.030083707641756188,0.3983665704727173,8.773151432258496
0.9078,33.16,150,17.1072,444,15,9.211616277694702,-10.4931,61440,0.2,0.0001,0.3448153409090909,0.2,70,0.07108447,0.6687448024749756,8.694461822509766,-18.66842032923843,-0.0201848175828204,0.44243723154067993,9.279277079033129
0.9069,32.1503,160,17.2651,442,16,9.24637246131897,-8.7218,65536,0.2,0.0001,0.23397435897435898,0.2,75,0.056833107,0.3956027030944824,4.749640941619873,-18.547189027835163,-0.004608089390855569,0.38220685720443726,9.359843058463854
0.907,30.4732,170,17.4032,444,17,9.208219051361084,-7.3639,69632,0.2,0.0001,0.29705668604651164,0.2,80,0.060151275,0.4349966049194336,7.873181343078613,-18.494726402814997,-0.009234817482011264,0.3740079998970032,10.52548504984656
0.9071,31.429,180,17.3512,444,18,9.219182252883911,-7.9074,73728,0.2,0.0001,0.3805147058823529,0.2,85,0.06186319,0.8578488826751709,5.950068473815918,-18.56611462761374,-0.039565666611580286,0.3814964294433594,11.84665408414953
