rollout/episode_reward_sum,rollout/episode_reward_short_path,time/time_elapsed,time/total_timesteps,time/rollout,rollout/episode_length,time/fps,time/iterations,rollout/episode_reward_height_coverage,time/training,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_range_vf,train/learning_rate,train/loss,train/n_updates
2.1832,-22.0864,17,8192,16.851736545562744,19.3744,486,1,0.2196,,,,,,,,,,,,
4.728,-100.5788,37,16384,16.77409291267395,84.6748,488,2,0.7393,3.4068920612335205,12.171706035733223,0.050850086,-19.381411916017534,0.3513427734375,0.2,0.012056946754455566,-0.06921083282795734,0.2,0.0001,9.00466537475586,5
5.3163,-119.0,57,24576,16.960028409957886,100.0,483,3,0.8608,3.3204689025878906,879.2156290054321,0.062450476,-19.336047810316085,0.4648681640625,0.2,0.14293712377548218,-0.07154320376139367,0.2,0.0001,514.269775390625,10
5.3575,-119.0,78,32768,16.910250663757324,100.0,484,4,0.8629,3.3894197940826416,8366.323907470703,0.08495414,-19.251439732313155,0.5334228515625,0.2,0.1427021622657776,-0.06375388649903471,0.2,0.0001,6636.5263671875,15
5.3341,-119.0,97,40960,16.824371576309204,100.0,486,5,0.8617,2.748106002807617,46758.29494349631,0.099623665,-19.157379734560134,0.5426660516605166,0.2,0.1251974105834961,-0.04995881830689212,0.2,0.0001,38182.0078125,20
5.274,-119.0,118,49152,17.114415168762207,100.0,478,6,0.8587,3.353088617324829,72874.32496337891,0.08472269,-19.125015980005266,0.550732421875,0.2,0.13674670457839966,-0.06054033253749367,0.2,0.0001,56086.37109375,25
5.3251,-119.0,138,57344,17.175262451171875,100.0,476,7,0.8613,2.781777858734131,95647.49507211539,0.12774886,-19.02045675424429,0.5541766826923077,0.2,0.13480687141418457,-0.05829434703605679,0.2,0.0001,77797.1328125,30
5.483,-119.0,157,65536,17.063478708267212,100.0,480,8,0.8692,2.640920639038086,119013.68954326923,0.14629051,-18.956540195758524,0.5783353365384616,0.2,0.11173421144485474,-0.06344282368484598,0.2,0.0001,99234.09375,35
5.3257,-119.0,176,73728,16.565265417099,100.0,494,9,0.8613,2.400142192840576,163346.08295815677,0.12387087,-18.960296598531432,0.5738215042372882,0.2,0.11466413736343384,-0.06239041001378101,0.2,0.0001,130851.9453125,40
5.1272,-119.0,194,81920,16.55781650543213,100.0,494,10,0.8514,1.3284804821014404,206723.56834446566,0.10144781,-18.87272789642101,0.5205152671755725,0.2,0.07801616191864014,-0.0011311933639964074,0.2,0.0001,167859.625,45
5.1909,-119.0,213,90112,16.70507502555847,100.0,490,11,0.8545,2.2354700565338135,310908.75919117645,0.12070929,-18.782738612248348,0.5693226809954751,0.2,0.06863707304000854,-0.04183788495180429,0.2,0.0001,247241.765625,50
5.2427,-119.0,232,98304,16.838430881500244,100.0,486,12,0.8571,2.1803317070007324,396064.51168082526,0.12979858,-18.741372626962015,0.5683404126213593,0.2,0.06486380100250244,-0.041099704661885804,0.2,0.0001,348369.4375,55
5.3607,-119.0,251,106496,16.924099922180176,100.0,484,13,0.863,2.415907144546509,446664.7301502146,0.113187276,-18.706462090619134,0.5828192060085837,0.2,0.05959814786911011,-0.040634317371530594,0.2,0.0001,390591.4375,60
5.4315,-119.0,269,114688,17.092371463775635,100.0,479,14,0.8666,0.25732898712158203,702998.295,0.06888767,-18.286676712036133,0.4921875,0.2,0.029288053512573242,0.050325347371399404,0.2,0.0001,556724.5625,65
5.507,-119.0,286,122880,16.876214027404785,100.0,485,15,0.8704,0.26322412490844727,1371636.326923077,0.061402407,-18.1585782124446,0.4777644230769231,0.2,0.012520968914031982,0.048922499211934894,0.2,0.0001,1103607.375,70
5.1593,-119.0,303,131072,16.714106559753418,100.0,490,16,0.853,0.3321833610534668,1721502.03515625,0.08883404,-18.128267526626587,0.5576171875,0.2,0.031285226345062256,0.06817840709118173,0.2,0.0001,1292109.0,75
4.7222,-119.0,320,139264,16.670510053634644,100.0,491,17,0.8311,0.19056296348571777,2374418.9166666665,0.07286026,-17.933199564615887,0.5065104166666666,0.2,0.0158882737159729,0.05977749162250095,0.2,0.0001,1975128.0,80
4.4827,-119.0,337,147456,16.7940616607666,100.0,487,18,0.8191,0.1555180549621582,3220776.3833333333,0.075789005,-17.75687993367513,0.4895833333333333,0.2,0.013223886489868164,0.05439596412082513,0.2,0.0001,2457722.0,85
