time/total_timesteps,time/iterations,rollout/episode_reward_short_path,rollout/episode_length,time/time_elapsed,time/fps,time/rollout,rollout/episode_reward_sum,rollout/episode_reward_height_coverage,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/loss,time/training,train/clip_fraction,train/clip_range,train/learning_rate,train/clip_range_vf,train/n_updates,train/explained_variance
4096,1,-23.055,15.355,68,60,67.8317437171936,1.385,0.1845,,,,,,,,,,,,
8192,2,-94.605,59.905,99,142,28.767171621322632,1.3696,0.5415,-0.08083166776923463,10.0478610008955,-19.37775229215622,0.05632566,7.327058792114258,2.4616382122039795,0.403662109375,0.2,0.0001,0.2,5,0.010096192359924316
12288,3,-145.644,91.684,120,208,19.68668532371521,1.363,0.7964,-0.052803016604919886,1205.7768496809335,-19.31510780597555,0.050686717,999.212646484375,1.2673513889312744,0.4128502155172414,0.2,0.0001,0.2,10,0.12583649158477783
16384,4,-159.0,100.0,141,208,19.676108837127686,1.3088,0.8604,-0.04855977905956843,9251.597242515505,-19.23535678950885,0.06609485,7814.294921875,1.3870983123779297,0.446087786259542,0.2,0.0001,0.2,15,0.1550382375717163
20480,5,-159.0,100.0,161,213,19.221974849700928,1.2342,0.8567,0.03438474261201918,37829.726453993055,-19.09143527348836,0.07240754,34284.453125,0.3680441379547119,0.4288194444444444,0.2,0.0001,0.2,20,0.1474618911743164
24576,6,-159.0,100.0,181,209,19.565848112106323,1.2459,0.8573,0.02838491473127814,242552.8262867647,-19.09502186494715,0.03638437,183526.75,0.1717824935913086,0.37454044117647056,0.2,0.0001,0.2,25,0.061911702156066895
28672,7,-159.0,100.0,200,208,19.690624952316284,1.3027,0.8601,0.025638216361403465,445114.903125,-18.9993106842041,0.03278776,373473.21875,0.10544395446777344,0.309375,0.2,0.0001,0.2,30,0.015693962574005127
32768,8,-159.0,100.0,220,211,19.401297092437744,1.4283,0.8664,0.027923902750692585,640370.8181818182,-18.750193682583895,0.03792749,478115.6875,0.11110711097717285,0.35795454545454547,0.2,0.0001,0.2,35,0.0027331113815307617
36864,9,-158.9664,99.9832,240,204,19.9888436794281,1.5522,0.8724,0.015975369347466364,921707.5277777778,-18.670438554551865,0.037974708,767786.25,0.09319448471069336,0.3550347222222222,0.2,0.0001,0.2,40,0.020681023597717285
